Year,Year_Level,LGA_KEY,LGA_DESC,INDICATOR_NUM_FULL,Numerator,Denominator,Indicator_Calc
2008,Year 5,20570,Ballarat (C),11.1,1102,1218,90.5%
2008,Year 5,20660,Banyule (C),11.1,1337,1422,94.0%
2008,Year 5,20740,Bass Coast (S),11.1,259,279,92.8%
2008,Year 5,20830,Baw Baw (S),11.1,525,561,93.6%
2008,Year 5,20910,Bayside (C),11.1,1189,1218,97.6%
2008,Year 5,21010,Benalla (Rc),11.1,143,155,92.3%
2008,Year 5,21110,Boroondara (C),11.1,2083,2135,97.6%
2008,Year 5,21180,Brimbank (C),11.1,2070,2342,88.4%
2008,Year 5,21270,Buloke (S),11.1,71,74,95.9%
2008,Year 5,21370,Campaspe (S),11.1,536,598,89.6%
2008,Year 5,21450,Cardinia (S),11.1,816,867,94.1%
2008,Year 5,21610,Casey (C),11.1,3228,3560,90.7%
2008,Year 5,21670,Central Goldfields (S),11.1,137,158,86.7%
2008,Year 5,21750,Colac-Otway (S),11.1,230,259,88.8%
2008,Year 5,21830,Corangamite (S),11.1,247,266,92.9%
2008,Year 5,21890,Darebin (C),11.1,978,1094,89.4%
2008,Year 5,22110,East Gippsland (S),11.1,435,484,89.9%
2008,Year 5,22170,Frankston (C),11.1,1356,1492,90.9%
2008,Year 5,22250,Gannawarra (S),11.1,142,158,89.9%
2008,Year 5,22410,Glen Eira (C),11.1,1232,1310,94.0%
2008,Year 5,22490,Glenelg (S),11.1,244,272,89.7%
2008,Year 5,22490,Golden Plains (S),11.1,203,217,93.5%
2008,Year 5,22670,Greater Bendigo (C),11.1,1177,1297,90.7%
2008,Year 5,22310,Greater Dandenong (C),11.1,1449,1662,87.2%
2008,Year 5,22750,Greater Geelong (C),11.1,2412,2628,91.8%
2008,Year 5,22830,Greater Shepparton (C),11.1,784,896,87.5%
2008,Year 5,22910,Hepburn (S),11.1,126,136,92.6%
2008,Year 5,22980,Hindmarsh (S),11.1,63,71,88.7%
2008,Year 5,23110,Hobsons Bay (C),11.1,837,917,91.3%
2008,Year 5,23190,Horsham (Rc),11.1,241,258,93.4%
2008,Year 5,23270,Hume (C),11.1,2101,2397,87.7%
2008,Year 5,23350,Indigo (S),11.1,163,171,95.3%
2008,Year 5,23430,Kingston (C),11.1,1415,1494,94.7%
2008,Year 5,23670,Knox (C),11.1,1783,1890,94.3%
2008,Year 5,23810,Latrobe (C),11.1,849,949,89.5%
2008,Year 5,23940,Loddon (S),11.1,89,94,94.7%
2008,Year 5,24130,Macedon Ranges (S),11.1,543,590,92.0%
2008,Year 5,24210,Manningham (C),11.1,1195,1257,95.1%
2008,Year 5,24250,Mansfield (S),11.1,74,79,93.7%
2008,Year 5,24330,Maribyrnong (C),11.1,475,533,89.1%
2008,Year 5,24410,Maroondah (C),11.1,1174,1265,92.8%
2008,Year 5,24600,Melbourne (C),11.1,250,268,93.3%
2008,Year 5,24650,Melton (S),11.1,958,1067,89.8%
2008,Year 5,24780,Mildura (Rc),11.1,739,857,86.2%
2008,Year 5,24850,Mitchell (S),11.1,420,461,91.1%
2008,Year 5,24900,Moira (S),11.1,383,418,91.6%
2008,Year 5,24970,Monash (C),11.1,1777,1883,94.4%
2008,Year 5,25060,Moonee Valley (C),11.1,1345,1414,95.1%
2008,Year 5,25150,Moorabool (S),11.1,364,391,93.1%
2008,Year 5,25250,Moreland (C),11.1,1198,1332,89.9%
2008,Year 5,25340,Mornington Peninsula (S),11.1,1701,1802,94.4%
2008,Year 5,25430,Mount Alexander (S),11.1,168,189,88.9%
2008,Year 5,25490,Moyne (S),11.1,151,163,92.6%
2008,Year 5,25620,Murrindindi (S),11.1,146,166,88.0%
2008,Year 5,25710,Nillumbik (S),11.1,847,872,97.1%
2008,Year 5,25810,Northern Grampians (S),11.1,127,141,90.1%
2008,Year 5,25900,Port Phillip (C),11.1,369,396,93.2%
2008,Year 5,25990,Pyrenees (S),11.1,69,75,92.0%
2008,Year 5,26080,Queenscliffe (B),11.1,34,34,100.0%
2008,Year 5,26170,South Gippsland (S),11.1,338,371,91.1%
2008,Year 5,26260,Southern Grampians (S),11.1,208,231,90.0%
2008,Year 5,26350,Stonnington (C),11.1,862,878,98.2%
2008,Year 5,26430,Strathbogie (S),11.1,63,78,80.8%
2008,Year 5,26490,Surf Coast (S),11.1,247,259,95.4%
2008,Year 5,26610,Swan Hill (Rc),11.1,251,288,87.2%
2008,Year 5,26670,Towong (S),11.1,81,87,93.1%
2008,Year 5,29399,Unincorporated Vic,11.1,NDP,NDP,NDP
2008,Year 5,26700,Wangaratta (Rc),11.1,310,325,95.4%
2008,Year 5,26730,Warrnambool (C),11.1,472,512,92.2%
2008,Year 5,26810,Wellington (S),11.1,483,533,90.6%
2008,Year 5,26890,West Wimmera (S),11.1,61,66,92.4%
2008,Year 5,26980,Whitehorse (C),11.1,1626,1724,94.3%
2008,Year 5,27070,Whittlesea (C),11.1,1531,1660,92.2%
2008,Year 5,27170,Wodonga (Rc),11.1,465,522,89.1%
2008,Year 5,27260,Wyndham (C),11.1,1661,1874,88.6%
2008,Year 5,27350,Yarra (C),11.1,506,532,95.1%
2008,Year 5,27450,Yarra Ranges (S),11.1,1863,1987,93.8%
2008,Year 5,27630,Yarriambiack (S),11.1,78,87,89.7%
2008,Year 7,20110,Alpine (S),11.1,134,136,98.5%
2008,Year 7,20260,Ararat (Rc),11.1,169,177,95.5%
2008,Year 7,20570,Ballarat (C),11.1,1506,1582,95.2%
2008,Year 7,20660,Banyule (C),11.1,1885,1950,96.7%
2008,Year 7,20740,Bass Coast (S),11.1,273,279,97.8%
2008,Year 7,20830,Baw Baw (S),11.1,760,786,96.7%
2008,Year 7,20910,Bayside (C),11.1,1046,1063,98.4%
2008,Year 7,21010,Benalla (Rc),11.1,183,190,96.3%
2008,Year 7,21110,Boroondara (C),11.1,2662,2688,99.0%
2008,Year 7,21180,Brimbank (C),11.1,1723,1869,92.2%
2008,Year 7,21270,Buloke (S),11.1,97,99,98.0%
2008,Year 7,21370,Campaspe (S),11.1,540,583,92.6%
2008,Year 7,21450,Cardinia (S),11.1,668,705,94.8%
2008,Year 7,21610,Casey (C),11.1,2865,3034,94.4%
2008,Year 7,21670,Central Goldfields (S),11.1,190,207,91.8%
2008,Year 7,21750,Colac-Otway (S),11.1,253,277,91.3%
2008,Year 7,21830,Corangamite (S),11.1,250,263,95.1%
2008,Year 7,21890,Darebin (C),11.1,825,896,92.1%
2008,Year 7,22110,East Gippsland (S),11.1,460,492,93.5%
2008,Year 7,22170,Frankston (C),11.1,1645,1728,95.2%
2008,Year 7,22250,Gannawarra (S),11.1,116,121,95.9%
2008,Year 7,22410,Glen Eira (C),11.1,1110,1135,97.8%
2008,Year 7,22490,Glenelg (S),11.1,266,282,94.3%
2008,Year 7,22670,Greater Bendigo (C),11.1,1285,1358,94.6%
2008,Year 7,22310,Greater Dandenong (C),11.1,1744,1910,91.3%
2008,Year 7,22750,Greater Geelong (C),11.1,2949,3069,96.1%
2008,Year 7,22830,Greater Shepparton (C),11.1,866,937,92.4%
2008,Year 7,22910,Hepburn (S),11.1,61,67,91.0%
2008,Year 7,22980,Hindmarsh (S),11.1,86,89,96.6%
2008,Year 7,23110,Hobsons Bay (C),11.1,800,839,95.4%
2008,Year 7,23190,Horsham (Rc),11.1,229,254,90.2%
2008,Year 7,23270,Hume (C),11.1,1757,1902,92.4%
2008,Year 7,23350,Indigo (S),11.1,123,124,99.2%
2008,Year 7,23430,Kingston (C),11.1,1350,1385,97.5%
2008,Year 7,23670,Knox (C),11.1,1087,1129,96.3%
2008,Year 7,23810,Latrobe (C),11.1,852,908,93.8%
2008,Year 7,23940,Loddon (S),11.1,55,59,93.2%
2008,Year 7,24130,Macedon Ranges (S),11.1,593,603,98.3%
2008,Year 7,24210,Manningham (C),11.1,1107,1153,96.0%
2008,Year 7,24250,Mansfield (S),11.1,82,86,95.3%
2008,Year 7,24330,Maribyrnong (C),11.1,669,731,91.5%
2008,Year 7,24410,Maroondah (C),11.1,1483,1519,97.6%
2008,Year 7,24600,Melbourne (C),11.1,691,704,98.2%
2008,Year 7,24650,Melton (S),11.1,1156,1212,95.4%
2008,Year 7,24780,Mildura (Rc),11.1,725,797,91.0%
2008,Year 7,24850,Mitchell (S),11.1,543,573,94.8%
2008,Year 7,24900,Moira (S),11.1,401,416,96.4%
2008,Year 7,24970,Monash (C),11.1,2599,2659,97.7%
2008,Year 7,25060,Moonee Valley (C),11.1,1593,1638,97.3%
2008,Year 7,25150,Moorabool (S),11.1,231,242,95.5%
2008,Year 7,25250,Moreland (C),11.1,1191,1281,93.0%
2008,Year 7,25340,Mornington Peninsula (S),11.1,1599,1650,96.9%
2008,Year 7,25430,Mount Alexander (S),11.1,139,144,96.5%
2008,Year 7,25490,Moyne (S),11.1,36,37,97.3%
2008,Year 7,25620,Murrindindi (S),11.1,112,114,98.2%
2008,Year 7,25710,Nillumbik (S),11.1,646,663,97.4%
2008,Year 7,25810,Northern Grampians (S),11.1,121,131,92.4%
2008,Year 7,25900,Port Phillip (C),11.1,301,322,93.5%
2008,Year 7,25990,Pyrenees (S),11.1,39,40,97.5%
2008,Year 7,26170,South Gippsland (S),11.1,399,424,94.1%
2008,Year 7,26260,Southern Grampians (S),11.1,292,295,99.0%
2008,Year 7,26350,Stonnington (C),11.1,1045,1059,98.7%
2008,Year 7,26430,Strathbogie (S),11.1,55,59,93.2%
2008,Year 7,26490,Surf Coast (S),11.1,16,17,94.1%
2008,Year 7,26610,Swan Hill (Rc),11.1,357,381,93.7%
2008,Year 7,26670,Towong (S),11.1,102,105,97.1%
2008,Year 7,26700,Wangaratta (Rc),11.1,365,381,95.8%
2008,Year 7,26730,Warrnambool (C),11.1,613,638,96.1%
2008,Year 7,26810,Wellington (S),11.1,568,589,96.4%
2008,Year 7,26890,West Wimmera (S),11.1,63,66,95.5%
2008,Year 7,26980,Whitehorse (C),11.1,1403,1434,97.8%
2008,Year 7,27070,Whittlesea (C),11.1,1341,1419,94.5%
2008,Year 7,27170,Wodonga (Rc),11.1,560,582,96.2%
2008,Year 7,27260,Wyndham (C),11.1,1945,2057,94.6%
2008,Year 7,27350,Yarra (C),11.1,644,656,98.2%
2008,Year 7,27450,Yarra Ranges (S),11.1,2074,2137,97.1%
2008,Year 7,27630,Yarriambiack (S),11.1,111,118,94.1%
2008,Year 9,20110,Alpine (S),11.1,125,133,94.0%
2008,Year 9,20260,Ararat (Rc),11.1,156,170,91.8%
2008,Year 9,20570,Ballarat (C),11.1,1516,1600,94.8%
2008,Year 9,20660,Banyule (C),11.1,1831,1949,93.9%
2008,Year 9,20740,Bass Coast (S),11.1,259,273,94.9%
2008,Year 9,20830,Baw Baw (S),11.1,776,815,95.2%
2008,Year 9,20910,Bayside (C),11.1,975,1020,95.6%
2008,Year 9,21010,Benalla (Rc),11.1,184,191,96.3%
2008,Year 9,21110,Boroondara (C),11.1,2614,2656,98.4%
2008,Year 9,21180,Brimbank (C),11.1,1813,1994,90.9%
2008,Year 9,21270,Buloke (S),11.1,96,101,95.0%
2008,Year 9,21370,Campaspe (S),11.1,543,585,92.8%
2008,Year 9,21450,Cardinia (S),11.1,654,700,93.4%
2008,Year 9,21610,Casey (C),11.1,2696,2904,92.8%
2008,Year 9,21670,Central Goldfields (S),11.1,205,216,94.9%
2008,Year 9,21750,Colac-Otway (S),11.1,273,294,92.9%
2008,Year 9,21830,Corangamite (S),11.1,254,276,92.0%
2008,Year 9,21890,Darebin (C),11.1,808,910,88.8%
2008,Year 9,22110,East Gippsland (S),11.1,508,542,93.7%
2008,Year 9,22170,Frankston (C),11.1,1555,1702,91.4%
2008,Year 9,22250,Gannawarra (S),11.1,117,122,95.9%
2008,Year 9,22410,Glen Eira (C),11.1,1099,1126,97.6%
2008,Year 9,22490,Glenelg (S),11.1,209,233,89.7%
2008,Year 9,22670,Greater Bendigo (C),11.1,1241,1324,93.7%
2008,Year 9,22310,Greater Dandenong (C),11.1,1758,1993,88.2%
2008,Year 9,22750,Greater Geelong (C),11.1,2733,2865,95.4%
2008,Year 9,22830,Greater Shepparton (C),11.1,810,894,90.6%
2008,Year 9,22910,Hepburn (S),11.1,82,85,96.5%
2008,Year 9,22980,Hindmarsh (S),11.1,68,73,93.2%
2008,Year 9,23110,Hobsons Bay (C),11.1,856,896,95.5%
2008,Year 9,23190,Horsham (Rc),11.1,223,239,93.3%
2008,Year 9,23270,Hume (C),11.1,1815,2009,90.3%
2008,Year 9,23350,Indigo (S),11.1,103,106,97.2%
2008,Year 9,23430,Kingston (C),11.1,1322,1381,95.7%
2008,Year 9,23670,Knox (C),11.1,1124,1176,95.6%
2008,Year 9,23810,Latrobe (C),11.1,777,846,91.8%
2008,Year 9,23940,Loddon (S),11.1,72,75,96.0%
2008,Year 9,24130,Macedon Ranges (S),11.1,546,565,96.6%
2008,Year 9,24210,Manningham (C),11.1,1023,1104,92.7%
2008,Year 9,24250,Mansfield (S),11.1,379,382,99.2%
2008,Year 9,24330,Maribyrnong (C),11.1,613,668,91.8%
2008,Year 9,24410,Maroondah (C),11.1,1445,1506,95.9%
2008,Year 9,24600,Melbourne (C),11.1,827,849,97.4%
2008,Year 9,24650,Melton (S),11.1,951,1023,93.0%
2008,Year 9,24780,Mildura (Rc),11.1,709,768,92.3%
2008,Year 9,24850,Mitchell (S),11.1,508,549,92.5%
2008,Year 9,24900,Moira (S),11.1,334,364,91.8%
2008,Year 9,24970,Monash (C),11.1,2476,2571,96.3%
2008,Year 9,25060,Moonee Valley (C),11.1,1634,1692,96.6%
2008,Year 9,25150,Moorabool (S),11.1,240,256,93.8%
2008,Year 9,25250,Moreland (C),11.1,853,923,92.4%
2008,Year 9,25340,Mornington Peninsula (S),11.1,1542,1626,94.8%
2008,Year 9,25430,Mount Alexander (S),11.1,145,157,92.4%
2008,Year 9,25490,Moyne (S),11.1,44,46,95.7%
2008,Year 9,25620,Murrindindi (S),11.1,101,108,93.5%
2008,Year 9,25710,Nillumbik (S),11.1,502,527,95.3%
2008,Year 9,25810,Northern Grampians (S),11.1,131,137,95.6%
2008,Year 9,25900,Port Phillip (C),11.1,520,544,95.6%
2008,Year 9,25990,Pyrenees (S),11.1,31,32,96.9%
2008,Year 9,26170,South Gippsland (S),11.1,368,384,95.8%
2008,Year 9,26260,Southern Grampians (S),11.1,283,298,95.0%
2008,Year 9,26350,Stonnington (C),11.1,986,995,99.1%
2008,Year 9,26430,Strathbogie (S),11.1,42,47,89.4%
2008,Year 9,26490,Surf Coast (S),11.1,16,17,94.1%
2008,Year 9,26610,Swan Hill (Rc),11.1,296,339,87.3%
2008,Year 9,26670,Towong (S),11.1,102,104,98.1%
2008,Year 9,26700,Wangaratta (Rc),11.1,357,384,93.0%
2008,Year 9,26730,Warrnambool (C),11.1,529,576,91.8%
2008,Year 9,26810,Wellington (S),11.1,570,601,94.8%
2008,Year 9,26890,West Wimmera (S),11.1,54,58,93.1%
2008,Year 9,26980,Whitehorse (C),11.1,1444,1492,96.8%
2008,Year 9,27070,Whittlesea (C),11.1,1313,1409,93.2%
2008,Year 9,27170,Wodonga (Rc),11.1,500,525,95.2%
2008,Year 9,27260,Wyndham (C),11.1,1575,1720,91.6%
2008,Year 9,27350,Yarra (C),11.1,845,868,97.4%
2008,Year 9,27450,Yarra Ranges (S),11.1,1942,2042,95.1%
2008,Year 9,27630,Yarriambiack (S),11.1,102,112,91.1%
2009,Year 3,20110,Alpine (S),11.1,144,147,98.0%
2009,Year 3,20260,Ararat (Rc),11.1,133,139,95.7%
2009,Year 3,20570,Ballarat (C),11.1,1075,1142,94.1%
2009,Year 3,20660,Banyule (C),11.1,1353,1392,97.2%
2009,Year 3,20740,Bass Coast (S),11.1,267,278,96.0%
2009,Year 3,20830,Baw Baw (S),11.1,521,547,95.2%
2009,Year 3,20910,Bayside (C),11.1,1308,1323,98.9%
2009,Year 3,21010,Benalla (Rc),11.1,153,172,89.0%
2009,Year 3,21110,Boroondara (C),11.1,2086,2119,98.4%
2009,Year 3,21180,Brimbank (C),11.1,2187,2348,93.1%
2009,Year 3,21270,Buloke (S),11.1,92,94,97.9%
2009,Year 3,21370,Campaspe (S),11.1,476,498,95.6%
2009,Year 3,21450,Cardinia (S),11.1,802,838,95.7%
2009,Year 3,21610,Casey (C),11.1,3323,3514,94.6%
2009,Year 3,21670,Central Goldfields (S),11.1,126,142,88.7%
2009,Year 3,21750,Colac-Otway (S),11.1,254,265,95.8%
2009,Year 3,21830,Corangamite (S),11.1,230,244,94.3%
2009,Year 3,21890,Darebin (C),11.1,1103,1192,92.5%
2009,Year 3,22110,East Gippsland (S),11.1,449,480,93.5%
2009,Year 3,22170,Frankston (C),11.1,1345,1421,94.7%
2009,Year 3,22250,Gannawarra (S),11.1,135,142,95.1%
2009,Year 3,22410,Glen Eira (C),11.1,1362,1424,95.6%
2009,Year 3,22490,Glenelg (S),11.1,227,234,97.0%
2009,Year 3,22490,Golden Plains (S),11.1,225,228,98.7%
2009,Year 3,22670,Greater Bendigo (C),11.1,1149,1231,93.3%
2009,Year 3,22310,Greater Dandenong (C),11.1,1519,1655,91.8%
2009,Year 3,22750,Greater Geelong (C),11.1,2218,2358,94.1%
2009,Year 3,22830,Greater Shepparton (C),11.1,828,908,91.2%
2009,Year 3,22910,Hepburn (S),11.1,116,122,95.1%
2009,Year 3,22980,Hindmarsh (S),11.1,61,64,95.3%
2009,Year 3,23110,Hobsons Bay (C),11.1,849,881,96.4%
2009,Year 3,23190,Horsham (Rc),11.1,217,225,96.4%
2009,Year 3,23270,Hume (C),11.1,2069,2239,92.4%
2009,Year 3,23350,Indigo (S),11.1,180,186,96.8%
2009,Year 3,23430,Kingston (C),11.1,1420,1467,96.8%
2009,Year 3,23670,Knox (C),11.1,1734,1802,96.2%
2009,Year 3,23810,Latrobe (C),11.1,810,872,92.9%
2009,Year 3,23940,Loddon (S),11.1,76,81,93.8%
2009,Year 3,24130,Macedon Ranges (S),11.1,573,589,97.3%
2009,Year 3,24210,Manningham (C),11.1,1193,1250,95.4%
2009,Year 3,24250,Mansfield (S),11.1,61,62,98.4%
2009,Year 3,24330,Maribyrnong (C),11.1,575,621,92.6%
2009,Year 3,24410,Maroondah (C),11.1,1093,1126,97.1%
2009,Year 3,24600,Melbourne (C),11.1,202,209,96.7%
2009,Year 3,24650,Melton (S),11.1,1227,1302,94.2%
2009,Year 3,24780,Mildura (Rc),11.1,647,704,91.9%
2009,Year 3,24850,Mitchell (S),11.1,442,462,95.7%
2009,Year 3,24900,Moira (S),11.1,349,369,94.6%
2009,Year 3,24970,Monash (C),11.1,1758,1860,94.5%
2009,Year 3,25060,Moonee Valley (C),11.1,1422,1491,95.4%
2009,Year 3,25150,Moorabool (S),11.1,395,405,97.5%
2009,Year 3,25250,Moreland (C),11.1,1253,1334,93.9%
2009,Year 3,25340,Mornington Peninsula (S),11.1,1735,1815,95.6%
2009,Year 3,25430,Mount Alexander (S),11.1,161,167,96.4%
2009,Year 3,25490,Moyne (S),11.1,146,149,98.0%
2009,Year 3,25620,Murrindindi (S),11.1,116,119,97.5%
2009,Year 3,25710,Nillumbik (S),11.1,805,827,97.3%
2009,Year 3,25810,Northern Grampians (S),11.1,145,151,96.0%
2009,Year 3,25900,Port Phillip (C),11.1,477,491,97.1%
2009,Year 3,25990,Pyrenees (S),11.1,57,64,89.1%
2009,Year 3,26080,Queenscliffe (B),11.1,46,48,95.8%
2009,Year 3,26170,South Gippsland (S),11.1,304,317,95.9%
2009,Year 3,26260,Southern Grampians (S),11.1,205,215,95.3%
2009,Year 3,26350,Stonnington (C),11.1,791,809,97.8%
2009,Year 3,26430,Strathbogie (S),11.1,68,71,95.8%
2009,Year 3,26490,Surf Coast (S),11.1,267,270,98.9%
2009,Year 3,26610,Swan Hill (Rc),11.1,249,269,92.6%
2009,Year 3,26670,Towong (S),11.1,62,66,93.9%
2009,Year 3,29399,Unincorporated Vic,11.1,0,0,0.0%
2009,Year 3,26700,Wangaratta (Rc),11.1,304,326,93.3%
2009,Year 3,26730,Warrnambool (C),11.1,408,433,94.2%
2009,Year 3,26810,Wellington (S),11.1,483,515,93.8%
2009,Year 3,26890,West Wimmera (S),11.1,46,47,97.9%
2009,Year 3,26980,Whitehorse (C),11.1,1647,1710,96.3%
2009,Year 3,27070,Whittlesea (C),11.1,1692,1773,95.4%
2009,Year 3,27170,Wodonga (Rc),11.1,474,499,95.0%
2009,Year 3,27260,Wyndham (C),11.1,1728,1846,93.6%
2009,Year 3,27350,Yarra (C),11.1,609,626,97.3%
2009,Year 3,27450,Yarra Ranges (S),11.1,1841,1922,95.8%
2009,Year 3,27630,Yarriambiack (S),11.1,74,79,93.7%
2009,Year 5,20110,Alpine (S),11.1,139,147,94.6%
2009,Year 5,20260,Ararat (Rc),11.1,131,141,92.9%
2009,Year 5,20570,Ballarat (C),11.1,1138,1249,91.1%
2009,Year 5,20660,Banyule (C),11.1,1376,1453,94.7%
2009,Year 5,20740,Bass Coast (S),11.1,317,337,94.1%
2009,Year 5,20830,Baw Baw (S),11.1,541,583,92.8%
2009,Year 5,20910,Bayside (C),11.1,1210,1237,97.8%
2009,Year 5,21010,Benalla (Rc),11.1,116,130,89.2%
2009,Year 5,21110,Boroondara (C),11.1,2048,2108,97.2%
2009,Year 5,21180,Brimbank (C),11.1,2146,2359,91.0%
2009,Year 5,21270,Buloke (S),11.1,74,78,94.9%
2009,Year 5,21370,Campaspe (S),11.1,470,509,92.3%
2009,Year 5,21450,Cardinia (S),11.1,846,903,93.7%
2009,Year 5,21610,Casey (C),11.1,3265,3551,91.9%
2009,Year 5,21670,Central Goldfields (S),11.1,132,148,89.2%
2009,Year 5,21750,Colac-Otway (S),11.1,272,299,91.0%
2009,Year 5,21830,Corangamite (S),11.1,235,248,94.8%
2009,Year 5,21890,Darebin (C),11.1,948,1052,90.1%
2009,Year 5,22110,East Gippsland (S),11.1,455,496,91.7%
2009,Year 5,22170,Frankston (C),11.1,1351,1467,92.1%
2009,Year 5,22250,Gannawarra (S),11.1,122,130,93.8%
2009,Year 5,22410,Glen Eira (C),11.1,1289,1347,95.7%
2009,Year 5,22490,Glenelg (S),11.1,219,241,90.9%
2009,Year 5,22490,Golden Plains (S),11.1,198,211,93.8%
