Year,Year_Level,LGA_KEY,LGA_DESC,INDICATOR_NUM_FULL,Numerator,Denominator,Indicator_Calc
2008,Year 3,24900,Moira (S),11.2,336,351,95.7%
2008,Year 3,24970,Monash (C),11.2,1725,1791,96.3%
2008,Year 3,25060,Moonee Valley (C),11.2,1376,1451,94.8%
2008,Year 3,25150,Moorabool (S),11.2,353,373,94.6%
2008,Year 3,25250,Moreland (C),11.2,1243,1310,94.9%
2008,Year 3,25340,Mornington Peninsula (S),11.2,1726,1774,97.3%
2008,Year 3,25430,Mount Alexander (S),11.2,176,184,95.7%
2008,Year 3,25490,Moyne (S),11.2,162,166,97.6%
2008,Year 3,25620,Murrindindi (S),11.2,142,145,97.9%
2008,Year 3,25710,Nillumbik (S),11.2,816,846,96.5%
2008,Year 3,25810,Northern Grampians (S),11.2,134,139,96.4%
2008,Year 3,25900,Port Phillip (C),11.2,456,479,95.2%
2008,Year 3,25990,Pyrenees (S),11.2,64,66,97.0%
2008,Year 3,26080,Queenscliffe (B),11.2,34,35,97.1%
2008,Year 3,26170,South Gippsland (S),11.2,320,334,95.8%
2008,Year 3,26260,Southern Grampians (S),11.2,181,191,94.8%
2008,Year 3,26350,Stonnington (C),11.2,759,772,98.3%
2008,Year 3,26430,Strathbogie (S),11.2,106,110,96.4%
2008,Year 3,26490,Surf Coast (S),11.2,289,293,98.6%
2008,Year 3,26610,Swan Hill (Rc),11.2,314,336,93.5%
2008,Year 3,26670,Towong (S),11.2,73,76,96.1%
2008,Year 3,29399,Unincorporated Vic,11.2,NDP,NDP,NDP
2008,Year 3,26700,Wangaratta (Rc),11.2,302,316,95.6%
2008,Year 3,26730,Warrnambool (C),11.2,430,445,96.6%
2008,Year 3,26810,Wellington (S),11.2,478,507,94.3%
2008,Year 3,26890,West Wimmera (S),11.2,57,58,98.3%
2008,Year 3,26980,Whitehorse (C),11.2,1672,1727,96.8%
2008,Year 3,27070,Whittlesea (C),11.2,1514,1576,96.1%
2008,Year 3,27170,Wodonga (Rc),11.2,497,518,95.9%
2008,Year 3,27260,Wyndham (C),11.2,1870,1962,95.3%
2008,Year 3,27350,Yarra (C),11.2,567,582,97.4%
2008,Year 3,27450,Yarra Ranges (S),11.2,1875,1922,97.6%
2008,Year 3,27630,Yarriambiack (S),11.2,89,97,91.8%
2008,Year 5,20110,Alpine (S),11.2,149,161,92.5%
2008,Year 5,20260,Ararat (Rc),11.2,141,148,95.3%
2008,Year 5,20570,Ballarat (C),11.2,1138,1216,93.6%
2008,Year 5,20660,Banyule (C),11.2,1349,1415,95.3%
2008,Year 5,20740,Bass Coast (S),11.2,264,278,95.0%
2008,Year 5,20830,Baw Baw (S),11.2,540,562,96.1%
2008,Year 5,20910,Bayside (C),11.2,1191,1211,98.3%
2008,Year 5,21010,Benalla (Rc),11.2,149,154,96.8%
2008,Year 5,21110,Boroondara (C),11.2,2099,2134,98.4%
2008,Year 5,21180,Brimbank (C),11.2,2103,2327,90.4%
2008,Year 5,21270,Buloke (S),11.2,69,74,93.2%
2008,Year 5,21370,Campaspe (S),11.2,554,600,92.3%
2008,Year 5,21450,Cardinia (S),11.2,825,861,95.8%
2008,Year 5,21610,Casey (C),11.2,3322,3557,93.4%
2008,Year 5,21670,Central Goldfields (S),11.2,148,158,93.7%
2008,Year 5,21750,Colac-Otway (S),11.2,238,257,92.6%
2008,Year 5,21830,Corangamite (S),11.2,248,265,93.6%
2008,Year 5,21890,Darebin (C),11.2,988,1094,90.3%
2008,Year 5,22110,East Gippsland (S),11.2,459,489,93.9%
2008,Year 5,22170,Frankston (C),11.2,1388,1498,92.7%
2008,Year 5,22250,Gannawarra (S),11.2,153,159,96.2%
2008,Year 5,22410,Glen Eira (C),11.2,1259,1309,96.2%
2008,Year 5,22490,Glenelg (S),11.2,256,273,93.8%
2008,Year 5,22490,Golden Plains (S),11.2,213,217,98.2%
2008,Year 5,22670,Greater Bendigo (C),11.2,1205,1303,92.5%
2008,Year 5,22310,Greater Dandenong (C),11.2,1508,1657,91.0%
2008,Year 5,22750,Greater Geelong (C),11.2,2453,2618,93.7%
2008,Year 5,22830,Greater Shepparton (C),11.2,811,881,92.1%
2008,Year 5,22910,Hepburn (S),11.2,128,132,97.0%
2008,Year 5,22980,Hindmarsh (S),11.2,67,71,94.4%
2008,Year 5,23110,Hobsons Bay (C),11.2,863,914,94.4%
2008,Year 5,23190,Horsham (Rc),11.2,248,258,96.1%
2008,Year 5,23270,Hume (C),11.2,2176,2397,90.8%
2008,Year 5,23350,Indigo (S),11.2,165,173,95.4%
2008,Year 5,23430,Kingston (C),11.2,1433,1495,95.9%
2008,Year 5,23670,Knox (C),11.2,1806,1892,95.5%
2008,Year 5,23810,Latrobe (C),11.2,881,947,93.0%
2008,Year 5,23940,Loddon (S),11.2,90,94,95.7%
2008,Year 5,24130,Macedon Ranges (S),11.2,556,594,93.6%
2008,Year 5,24210,Manningham (C),11.2,1205,1260,95.6%
2008,Year 5,24250,Mansfield (S),11.2,75,79,94.9%
2008,Year 5,24330,Maribyrnong (C),11.2,486,532,91.4%
2008,Year 5,24410,Maroondah (C),11.2,1202,1261,95.3%
2008,Year 5,24600,Melbourne (C),11.2,257,268,95.9%
2008,Year 5,24650,Melton (S),11.2,978,1071,91.3%
2008,Year 5,24780,Mildura (Rc),11.2,778,860,90.5%
2008,Year 5,24850,Mitchell (S),11.2,427,462,92.4%
2008,Year 5,24900,Moira (S),11.2,401,420,95.5%
2008,Year 5,24970,Monash (C),11.2,1793,1879,95.4%
2008,Year 5,25060,Moonee Valley (C),11.2,1357,1414,96.0%
2008,Year 5,25150,Moorabool (S),11.2,369,384,96.1%
2008,Year 5,25250,Moreland (C),11.2,1224,1335,91.7%
2008,Year 5,25340,Mornington Peninsula (S),11.2,1728,1801,95.9%
2008,Year 5,25430,Mount Alexander (S),11.2,177,192,92.2%
2008,Year 5,25490,Moyne (S),11.2,157,164,95.7%
2008,Year 5,25620,Murrindindi (S),11.2,148,160,92.5%
2008,Year 5,25710,Nillumbik (S),11.2,846,871,97.1%
2008,Year 5,25810,Northern Grampians (S),11.2,130,141,92.2%
2008,Year 5,25900,Port Phillip (C),11.2,372,392,94.9%
2008,Year 5,25990,Pyrenees (S),11.2,70,75,93.3%
2008,Year 5,26080,Queenscliffe (B),11.2,34,34,100.0%
2008,Year 5,26170,South Gippsland (S),11.2,346,370,93.5%
2008,Year 5,26260,Southern Grampians (S),11.2,221,234,94.4%
2008,Year 5,26350,Stonnington (C),11.2,866,877,98.7%
2008,Year 5,26430,Strathbogie (S),11.2,75,78,96.2%
2008,Year 5,26490,Surf Coast (S),11.2,242,255,94.9%
2008,Year 5,26610,Swan Hill (Rc),11.2,262,291,90.0%
2008,Year 5,26670,Towong (S),11.2,85,87,97.7%
2008,Year 5,29399,Unincorporated Vic,11.2,NDP,NDP,NDP
2008,Year 5,26700,Wangaratta (Rc),11.2,309,325,95.1%
2008,Year 5,26730,Warrnambool (C),11.2,482,511,94.3%
2008,Year 5,26810,Wellington (S),11.2,489,532,91.9%
2008,Year 5,26890,West Wimmera (S),11.2,62,66,93.9%
2008,Year 5,26980,Whitehorse (C),11.2,1660,1727,96.1%
2008,Year 5,27070,Whittlesea (C),11.2,1537,1650,93.2%
2008,Year 5,27170,Wodonga (Rc),11.2,480,522,92.0%
2008,Year 5,27260,Wyndham (C),11.2,1701,1871,90.9%
2008,Year 5,27350,Yarra (C),11.2,510,528,96.6%
2008,Year 5,27450,Yarra Ranges (S),11.2,1915,1986,96.4%
2008,Year 5,27630,Yarriambiack (S),11.2,83,86,96.5%
2008,Year 7,20110,Alpine (S),11.2,134,136,98.5%
2008,Year 7,20260,Ararat (Rc),11.2,174,181,96.1%
2008,Year 7,20570,Ballarat (C),11.2,1535,1597,96.1%
2008,Year 7,20660,Banyule (C),11.2,1906,1958,97.3%
2008,Year 7,20740,Bass Coast (S),11.2,269,273,98.5%
2008,Year 7,20830,Baw Baw (S),11.2,766,781,98.1%
2008,Year 7,20910,Bayside (C),11.2,1061,1071,99.1%
2008,Year 7,21010,Benalla (Rc),11.2,186,191,97.4%
2008,Year 7,21110,Boroondara (C),11.2,2684,2698,99.5%
2008,Year 7,21180,Brimbank (C),11.2,1735,1860,93.3%
2008,Year 7,21270,Buloke (S),11.2,96,98,98.0%
2008,Year 7,21370,Campaspe (S),11.2,550,580,94.8%
2008,Year 7,21450,Cardinia (S),11.2,689,707,97.5%
2008,Year 7,21610,Casey (C),11.2,2940,3055,96.2%
2008,Year 7,21670,Central Goldfields (S),11.2,198,209,94.7%
2008,Year 7,21750,Colac-Otway (S),11.2,273,283,96.5%
2008,Year 7,21830,Corangamite (S),11.2,257,269,95.5%
2008,Year 7,21890,Darebin (C),11.2,855,898,95.2%
2008,Year 7,22110,East Gippsland (S),11.2,475,493,96.3%
2008,Year 7,22170,Frankston (C),11.2,1673,1732,96.6%
2008,Year 7,22250,Gannawarra (S),11.2,117,119,98.3%
2008,Year 7,22410,Glen Eira (C),11.2,1111,1127,98.6%
2008,Year 7,22490,Glenelg (S),11.2,273,282,96.8%
2008,Year 7,22670,Greater Bendigo (C),11.2,1293,1345,96.1%
2008,Year 7,22310,Greater Dandenong (C),11.2,1784,1911,93.4%
2008,Year 7,22750,Greater Geelong (C),11.2,2981,3072,97.0%
2008,Year 7,22830,Greater Shepparton (C),11.2,897,948,94.6%
2008,Year 7,22910,Hepburn (S),11.2,67,68,98.5%
2008,Year 7,22980,Hindmarsh (S),11.2,86,90,95.6%
2008,Year 7,23110,Hobsons Bay (C),11.2,817,852,95.9%
2008,Year 7,23190,Horsham (Rc),11.2,236,249,94.8%
2008,Year 7,23270,Hume (C),11.2,1782,1903,93.6%
2008,Year 7,23350,Indigo (S),11.2,119,121,98.3%
2008,Year 7,23430,Kingston (C),11.2,1352,1368,98.8%
2008,Year 7,23670,Knox (C),11.2,1120,1144,97.9%
2008,Year 7,23810,Latrobe (C),11.2,883,913,96.7%
2008,Year 7,23940,Loddon (S),11.2,57,60,95.0%
2008,Year 7,24130,Macedon Ranges (S),11.2,599,607,98.7%
2008,Year 7,24210,Manningham (C),11.2,1125,1159,97.1%
2008,Year 7,24250,Mansfield (S),11.2,80,85,94.1%
2008,Year 7,24330,Maribyrnong (C),11.2,671,720,93.2%
2008,Year 7,24410,Maroondah (C),11.2,1489,1515,98.3%
2008,Year 7,24600,Melbourne (C),11.2,697,704,99.0%
2008,Year 7,24650,Melton (S),11.2,1172,1215,96.5%
2008,Year 7,24780,Mildura (Rc),11.2,747,813,91.9%
2008,Year 7,24850,Mitchell (S),11.2,550,572,96.2%
2008,Year 7,24900,Moira (S),11.2,402,412,97.6%
2008,Year 7,24970,Monash (C),11.2,2632,2680,98.2%
2008,Year 7,25060,Moonee Valley (C),11.2,1609,1635,98.4%
2008,Year 7,25150,Moorabool (S),11.2,239,245,97.6%
2008,Year 7,25250,Moreland (C),11.2,1201,1277,94.0%
2008,Year 7,25340,Mornington Peninsula (S),11.2,1635,1657,98.7%
2008,Year 7,25430,Mount Alexander (S),11.2,137,143,95.8%
2008,Year 7,25490,Moyne (S),11.2,35,37,94.6%
2008,Year 7,25620,Murrindindi (S),11.2,113,115,98.3%
2008,Year 7,25710,Nillumbik (S),11.2,649,664,97.7%
2008,Year 7,25810,Northern Grampians (S),11.2,126,128,98.4%
2008,Year 7,25900,Port Phillip (C),11.2,309,323,95.7%
2008,Year 7,25990,Pyrenees (S),11.2,39,40,97.5%
2008,Year 7,26170,South Gippsland (S),11.2,407,421,96.7%
2008,Year 7,26260,Southern Grampians (S),11.2,285,290,98.3%
2008,Year 7,26350,Stonnington (C),11.2,1052,1061,99.2%
2008,Year 7,26430,Strathbogie (S),11.2,63,63,100.0%
2008,Year 7,26490,Surf Coast (S),11.2,15,16,93.8%
2008,Year 7,26610,Swan Hill (Rc),11.2,369,384,96.1%
2008,Year 7,26670,Towong (S),11.2,104,105,99.0%
2008,Year 7,26700,Wangaratta (Rc),11.2,366,382,95.8%
2008,Year 7,26730,Warrnambool (C),11.2,617,637,96.9%
2008,Year 7,26810,Wellington (S),11.2,580,594,97.6%
2008,Year 7,26890,West Wimmera (S),11.2,64,66,97.0%
2008,Year 7,26980,Whitehorse (C),11.2,1411,1439,98.1%
2008,Year 7,27070,Whittlesea (C),11.2,1357,1414,96.0%
2008,Year 7,27170,Wodonga (Rc),11.2,573,587,97.6%
2008,Year 7,27260,Wyndham (C),11.2,1953,2049,95.3%
2008,Year 7,27350,Yarra (C),11.2,652,662,98.5%
2008,Year 7,27450,Yarra Ranges (S),11.2,2093,2138,97.9%
2008,Year 7,27630,Yarriambiack (S),11.2,111,119,93.3%
2008,Year 9,20110,Alpine (S),11.2,136,136,100.0%
2008,Year 9,20260,Ararat (Rc),11.2,169,177,95.5%
2008,Year 9,20570,Ballarat (C),11.2,1510,1607,94.0%
2008,Year 9,20660,Banyule (C),11.2,1844,1933,95.4%
2008,Year 9,20740,Bass Coast (S),11.2,262,271,96.7%
2008,Year 9,20830,Baw Baw (S),11.2,785,818,96.0%
2008,Year 9,20910,Bayside (C),11.2,987,1024,96.4%
2008,Year 9,21010,Benalla (Rc),11.2,189,194,97.4%
2008,Year 9,21110,Boroondara (C),11.2,2623,2652,98.9%
2008,Year 9,21180,Brimbank (C),11.2,1827,1991,91.8%
2008,Year 9,21270,Buloke (S),11.2,99,100,99.0%
2008,Year 9,21370,Campaspe (S),11.2,568,598,95.0%
2008,Year 9,21450,Cardinia (S),11.2,665,702,94.7%
2008,Year 9,21610,Casey (C),11.2,2758,2935,94.0%
2008,Year 9,21670,Central Goldfields (S),11.2,205,214,95.8%
2008,Year 9,21750,Colac-Otway (S),11.2,277,290,95.5%
2008,Year 9,21830,Corangamite (S),11.2,257,276,93.1%
2008,Year 9,21890,Darebin (C),11.2,825,921,89.6%
2008,Year 9,22110,East Gippsland (S),11.2,517,539,95.9%
2008,Year 9,22170,Frankston (C),11.2,1589,1729,91.9%
2008,Year 9,22250,Gannawarra (S),11.2,124,129,96.1%
2008,Year 9,22410,Glen Eira (C),11.2,1081,1092,99.0%
2008,Year 9,22490,Glenelg (S),11.2,217,231,93.9%
2008,Year 9,22670,Greater Bendigo (C),11.2,1243,1323,94.0%
2008,Year 9,22310,Greater Dandenong (C),11.2,1798,2005,89.7%
2008,Year 9,22750,Greater Geelong (C),11.2,2775,2908,95.4%
2008,Year 9,22830,Greater Shepparton (C),11.2,819,902,90.8%
2008,Year 9,22910,Hepburn (S),11.2,79,84,94.0%
2008,Year 9,22980,Hindmarsh (S),11.2,69,76,90.8%
2008,Year 9,23110,Hobsons Bay (C),11.2,849,891,95.3%
2008,Year 9,23190,Horsham (Rc),11.2,230,240,95.8%
2008,Year 9,23270,Hume (C),11.2,1853,2020,91.7%
2008,Year 9,23350,Indigo (S),11.2,103,108,95.4%
2008,Year 9,23430,Kingston (C),11.2,1308,1348,97.0%
2008,Year 9,23670,Knox (C),11.2,1154,1194,96.6%
2008,Year 9,23810,Latrobe (C),11.2,783,863,90.7%
2008,Year 9,23940,Loddon (S),11.2,75,78,96.2%
2008,Year 9,24130,Macedon Ranges (S),11.2,558,571,97.7%
2008,Year 9,24210,Manningham (C),11.2,1024,1097,93.3%
2008,Year 9,24250,Mansfield (S),11.2,385,388,99.2%
2008,Year 9,24330,Maribyrnong (C),11.2,628,675,93.0%
2008,Year 9,24410,Maroondah (C),11.2,1469,1514,97.0%
2008,Year 9,24600,Melbourne (C),11.2,849,860,98.7%
2008,Year 9,24650,Melton (S),11.2,946,1025,92.3%
2008,Year 9,24780,Mildura (Rc),11.2,708,769,92.1%
2008,Year 9,24850,Mitchell (S),11.2,505,558,90.5%
2008,Year 9,24900,Moira (S),11.2,349,369,94.6%
2008,Year 9,24970,Monash (C),11.2,2485,2561,97.0%
2008,Year 9,25060,Moonee Valley (C),11.2,1630,1686,96.7%
2008,Year 9,25150,Moorabool (S),11.2,239,251,95.2%
2008,Year 9,25250,Moreland (C),11.2,846,917,92.3%
2008,Year 9,25340,Mornington Peninsula (S),11.2,1532,1605,95.5%
2008,Year 9,25430,Mount Alexander (S),11.2,149,159,93.7%
2008,Year 9,25490,Moyne (S),11.2,46,50,92.0%
2008,Year 9,25620,Murrindindi (S),11.2,104,107,97.2%
2008,Year 9,25710,Nillumbik (S),11.2,502,521,96.4%
2008,Year 9,25810,Northern Grampians (S),11.2,134,141,95.0%
2008,Year 9,25900,Port Phillip (C),11.2,530,554,95.7%
2008,Year 9,25990,Pyrenees (S),11.2,30,31,96.8%
2008,Year 9,26170,South Gippsland (S),11.2,374,387,96.6%
2008,Year 9,26260,Southern Grampians (S),11.2,285,296,96.3%
2008,Year 9,26350,Stonnington (C),11.2,993,996,99.7%
2008,Year 9,26430,Strathbogie (S),11.2,51,53,96.2%
2008,Year 9,26490,Surf Coast (S),11.2,17,17,100.0%
2008,Year 9,26610,Swan Hill (Rc),11.2,299,338,88.5%
2008,Year 9,26670,Towong (S),11.2,105,105,100.0%
2008,Year 9,26700,Wangaratta (Rc),11.2,354,381,92.9%
2008,Year 9,26730,Warrnambool (C),11.2,548,586,93.5%
2008,Year 9,26810,Wellington (S),11.2,582,613,94.9%
2008,Year 9,26890,West Wimmera (S),11.2,58,60,96.7%
2008,Year 9,26980,Whitehorse (C),11.2,1455,1494,97.4%
2008,Year 9,27070,Whittlesea (C),11.2,1312,1396,94.0%
2008,Year 9,27170,Wodonga (Rc),11.2,514,536,95.9%
2008,Year 9,27260,Wyndham (C),11.2,1596,1726,92.5%
2008,Year 9,27350,Yarra (C),11.2,863,872,99.0%
2008,Year 9,27450,Yarra Ranges (S),11.2,1963,2042,96.1%
2008,Year 9,27630,Yarriambiack (S),11.2,102,111,91.9%
2009,Year 3,20110,Alpine (S),11.2,139,145,95.9%
2009,Year 3,20260,Ararat (Rc),11.2,131,136,96.3%
2009,Year 3,20570,Ballarat (C),11.2,1064,1138,93.5%
2009,Year 3,20660,Banyule (C),11.2,1340,1383,96.9%
2009,Year 3,20740,Bass Coast (S),11.2,259,273,94.9%
2009,Year 3,20830,Baw Baw (S),11.2,511,539,94.8%
2009,Year 3,20910,Bayside (C),11.2,1300,1311,99.2%
2009,Year 3,21010,Benalla (Rc),11.2,152,174,87.4%
2009,Year 3,21110,Boroondara (C),11.2,2069,2114,97.9%
2009,Year 3,21180,Brimbank (C),11.2,2132,2346,90.9%
2009,Year 3,21270,Buloke (S),11.2,88,93,94.6%
2009,Year 3,21370,Campaspe (S),11.2,471,497,94.8%
2009,Year 3,21450,Cardinia (S),11.2,794,839,94.6%
2009,Year 3,21610,Casey (C),11.2,3235,3490,92.7%
2009,Year 3,21670,Central Goldfields (S),11.2,126,141,89.4%
2009,Year 3,21750,Colac-Otway (S),11.2,245,258,95.0%
2009,Year 3,21830,Corangamite (S),11.2,225,240,93.8%
2009,Year 3,21890,Darebin (C),11.2,1077,1185,90.9%
2009,Year 3,22110,East Gippsland (S),11.2,428,478,89.5%
2009,Year 3,22170,Frankston (C),11.2,1310,1404,93.3%
2009,Year 3,22250,Gannawarra (S),11.2,139,144,96.5%
2009,Year 3,22410,Glen Eira (C),11.2,1347,1416,95.1%
2009,Year 3,22490,Glenelg (S),11.2,223,231,96.5%
2009,Year 3,22490,Golden Plains (S),11.2,223,226,98.7%
2009,Year 3,22670,Greater Bendigo (C),11.2,1133,1219,92.9%
2009,Year 3,22310,Greater Dandenong (C),11.2,1485,1644,90.3%
2009,Year 3,22750,Greater Geelong (C),11.2,2161,2338,92.4%
2009,Year 3,22830,Greater Shepparton (C),11.2,816,901,90.6%
2009,Year 3,22910,Hepburn (S),11.2,118,123,95.9%
2009,Year 3,22980,Hindmarsh (S),11.2,60,62,96.8%
2009,Year 3,23110,Hobsons Bay (C),11.2,819,866,94.6%
2009,Year 3,23190,Horsham (Rc),11.2,215,226,95.1%
2009,Year 3,23270,Hume (C),11.2,1996,2204,90.6%
2009,Year 3,23350,Indigo (S),11.2,180,187,96.3%
2009,Year 3,23430,Kingston (C),11.2,1398,1463,95.6%
2009,Year 3,23670,Knox (C),11.2,1712,1792,95.5%
2009,Year 3,23810,Latrobe (C),11.2,774,857,90.3%
2009,Year 3,23940,Loddon (S),11.2,76,81,93.8%
2009,Year 3,24130,Macedon Ranges (S),11.2,571,587,97.3%
2009,Year 3,24210,Manningham (C),11.2,1186,1242,95.5%
2009,Year 3,24250,Mansfield (S),11.2,59,62,95.2%
2009,Year 3,24330,Maribyrnong (C),11.2,562,616,91.2%
2009,Year 3,24410,Maroondah (C),11.2,1089,1127,96.6%
2009,Year 3,24600,Melbourne (C),11.2,197,207,95.2%
2009,Year 3,24650,Melton (S),11.2,1193,1290,92.5%
2009,Year 3,24780,Mildura (Rc),11.2,633,697,90.8%
2009,Year 3,24850,Mitchell (S),11.2,425,460,92.4%
2009,Year 3,24900,Moira (S),11.2,347,370,93.8%
2009,Year 3,24970,Monash (C),11.2,1740,1856,93.8%
2009,Year 3,25060,Moonee Valley (C),11.2,1396,1487,93.9%
2009,Year 3,25150,Moorabool (S),11.2,382,400,95.5%
2009,Year 3,25250,Moreland (C),11.2,1210,1327,91.2%
2009,Year 3,25340,Mornington Peninsula (S),11.2,1707,1802,94.7%
2009,Year 3,25430,Mount Alexander (S),11.2,157,169,92.9%
2009,Year 3,25490,Moyne (S),11.2,148,152,97.4%
2009,Year 3,25620,Murrindindi (S),11.2,117,121,96.7%
2009,Year 3,25710,Nillumbik (S),11.2,799,824,97.0%
2009,Year 3,25810,Northern Grampians (S),11.2,143,149,96.0%
2009,Year 3,25900,Port Phillip (C),11.2,477,496,96.2%
2009,Year 3,25990,Pyrenees (S),11.2,58,63,92.1%
2009,Year 3,26080,Queenscliffe (B),11.2,46,48,95.8%
2009,Year 3,26170,South Gippsland (S),11.2,300,315,95.2%
2009,Year 3,26260,Southern Grampians (S),11.2,205,214,95.8%
2009,Year 3,26350,Stonnington (C),11.2,787,806,97.6%
2009,Year 3,26430,Strathbogie (S),11.2,68,70,97.1%
2009,Year 3,26490,Surf Coast (S),11.2,260,266,97.7%
2009,Year 3,26610,Swan Hill (Rc),11.2,244,268,91.0%
2009,Year 3,26670,Towong (S),11.2,60,65,92.3%
2009,Year 3,29399,Unincorporated Vic,11.2,0,0,0.0%
2009,Year 3,26700,Wangaratta (Rc),11.2,291,319,91.2%
2009,Year 3,26730,Warrnambool (C),11.2,399,429,93.0%
2009,Year 3,26810,Wellington (S),11.2,475,517,91.9%
2009,Year 3,26890,West Wimmera (S),11.2,45,47,95.7%
2009,Year 3,26980,Whitehorse (C),11.2,1655,1712,96.7%
2009,Year 3,27070,Whittlesea (C),11.2,1627,1757,92.6%
2009,Year 3,27170,Wodonga (Rc),11.2,453,491,92.3%
2009,Year 3,27260,Wyndham (C),11.2,1681,1838,91.5%
2009,Year 3,27350,Yarra (C),11.2,602,628,95.9%
2009,Year 3,27450,Yarra Ranges (S),11.2,1828,1915,95.5%
2009,Year 3,27630,Yarriambiack (S),11.2,75,80,93.8%
2009,Year 5,20110,Alpine (S),11.2,144,146,98.6%
2009,Year 5,20260,Ararat (Rc),11.2,136,140,97.1%
2009,Year 5,20570,Ballarat (C),11.2,1160,1241,93.5%
2009,Year 5,20660,Banyule (C),11.2,1401,1444,97.0%
2009,Year 5,20740,Bass Coast (S),11.2,323,333,97.0%
2009,Year 5,20830,Baw Baw (S),11.2,556,580,95.9%
2009,Year 5,20910,Bayside (C),11.2,1209,1226,98.6%
2009,Year 5,21010,Benalla (Rc),11.2,121,130,93.1%
2009,Year 5,21110,Boroondara (C),11.2,2069,2107,98.2%
2009,Year 5,21180,Brimbank (C),11.2,2175,2344,92.8%
2009,Year 5,21270,Buloke (S),11.2,75,77,97.4%
2009,Year 5,21370,Campaspe (S),11.2,485,508,95.5%
2009,Year 5,21450,Cardinia (S),11.2,879,909,96.7%
2009,Year 5,21610,Casey (C),11.2,3375,3541,95.3%
2009,Year 5,21670,Central Goldfields (S),11.2,138,147,93.9%
2009,Year 5,21750,Colac-Otway (S),11.2,287,299,96.0%
2009,Year 5,21830,Corangamite (S),11.2,236,246,95.9%
2009,Year 5,21890,Darebin (C),11.2,957,1039,92.1%
2009,Year 5,22110,East Gippsland (S),11.2,463,490,94.5%
2009,Year 5,22170,Frankston (C),11.2,1375,1457,94.4%
2009,Year 5,22250,Gannawarra (S),11.2,126,129,97.7%
2009,Year 5,22410,Glen Eira (C),11.2,1303,1345,96.9%
2009,Year 5,22490,Glenelg (S),11.2,222,235,94.5%
2009,Year 5,22490,Golden Plains (S),11.2,205,210,97.6%
